citation_key,title,field,status,reason
abbott2001,Chaos of disciplines,institution,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,series,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
abbott2001,Chaos of disciplines,url,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,doi,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,isbn,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,issn,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,volume,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,number,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,pages,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,publisher,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,edition,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,booktitle,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,journal,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,institution,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,series,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
abramsky2013,Semantics of interaction,url,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,doi,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,isbn,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,issn,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,publisher,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,edition,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,booktitle,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,journal,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,institution,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,series,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
alur2002,Alternating-time temporal logic,url,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,doi,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,isbn,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,issn,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,volume,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,number,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,pages,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,publisher,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,edition,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,booktitle,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,journal,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,institution,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,series,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
americanchemicalsociety2026,Chemistry is everywhere: What is chemistry? American Psychological Association,url,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,doi,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,isbn,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,issn,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,volume,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,number,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,publisher,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,edition,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,booktitle,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,journal,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,institution,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,series,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
anderson1982,Acquisition of cognitive skill,url,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,doi,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,isbn,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,issn,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,volume,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,number,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,pages,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,publisher,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,edition,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,booktitle,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,journal,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,institution,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,series,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
anderson2007,How Can the Human Mind Occur in the Physical Universe? Oxford University Press,url,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,doi,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,isbn,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,issn,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,volume,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,number,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,pages,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,publisher,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,edition,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,booktitle,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,journal,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,institution,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,series,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
angelopoulos2021,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,url,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,doi,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,isbn,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,issn,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,volume,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,number,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,pages,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,publisher,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,edition,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,booktitle,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,journal,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,institution,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,series,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
ashby1956,An Introduction to Cybernetics,url,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,doi,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,isbn,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,issn,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,volume,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,number,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,pages,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,publisher,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,edition,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,booktitle,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,journal,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,institution,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,series,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
bacon2017,The option-critic architecture,url,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,doi,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,isbn,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,issn,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,volume,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,number,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,pages,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,publisher,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,edition,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,booktitle,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,journal,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,institution,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,series,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
baez2021,Categories of nets,url,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",doi,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",isbn,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",issn,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",volume,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",number,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",pages,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",publisher,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",edition,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",booktitle,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",journal,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",institution,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",series,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",reportnumber,unresolved,Field absent from source and no authoritative exact match established.
baez2010,"Physics, topology, logic and computation: A Rosetta Stone",url,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,isbn,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,issn,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,volume,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,number,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,publisher,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,edition,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,booktitle,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,journal,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,institution,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,series,unresolved,Field absent from source and no authoritative exact match established.
bahr2016,What is interaction science? Revisiting the aims and scope of JoIS,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,doi,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,issn,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,volume,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,number,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,edition,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,booktitle,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,journal,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,institution,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,series,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
baier2008,Principles of Model Checking,url,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,doi,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,isbn,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,issn,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,volume,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,number,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,publisher,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,edition,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,booktitle,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,journal,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,institution,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,series,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
barhillel1953,Semantic information,url,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,doi,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,isbn,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,issn,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,publisher,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,edition,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,booktitle,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,journal,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,institution,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,series,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
barnett2002,When and where do we apply what we learn? A taxonomy for far transfer,url,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,doi,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,isbn,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,issn,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,volume,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,number,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,pages,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,publisher,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,edition,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,booktitle,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,journal,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,institution,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,series,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
bateson1972,Steps to an Ecology of Mind,url,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,doi,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,isbn,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,issn,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,volume,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,number,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,publisher,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,edition,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,booktitle,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,journal,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,institution,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,series,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
beach1999,Consequential transitions: A sociocultural expedition beyond transfer in education,url,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,doi,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,isbn,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,issn,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,volume,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,number,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,publisher,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,edition,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,booktitle,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,journal,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,institution,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,series,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
beer1995,A dynamical systems perspective on agent-environment interaction,url,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,doi,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,isbn,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,issn,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,volume,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,number,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,pages,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,publisher,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,edition,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,booktitle,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,journal,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,institution,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,series,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,reportnumber,unresolved,Field absent from source and no authoritative exact match established.
bell1973,Secure Computer Systems: Mathematical Foundations,url,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,doi,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,isbn,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,issn,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,volume,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,number,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,pages,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,publisher,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,edition,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,booktitle,unresolved,Field absent from source and no authoritative exact match established.
belton2002,Multiple Criteria Decision Analysis: An Integrated Approach,journal,unresolved,Field absent from source and no authoritative exact match established.
