claim_id,claim,claim_type,source_artifact,supporting_references,evidence_level,operationalization,falsification_status,confidence,notes
DEF-,"A declaration of the measurand, observation process, operationalization, scale, uncertainty, validity evidence, population, task, projection, comparison conditions, and permitted interpretation.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A comparison of interaction tokens, types, structures, protocols, opportunities, traces, behaviors, policies, strategies, outcomes, causes, or measurements under an explicit frame, correspondence mapping, admissible transformations, metrics, tolerances, uncertainty, and validity domain.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Historical identity of one bounded interaction episode under declared continuity, participant, boundary, and timescale criteria.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,Membership in the same abstraction-defined interaction class under explicit classification rules.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,Exact preservation under a declared comparison contract and observable set. Equivalence is always typed.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Graded proximity under declared dimensions, representations, alignment rules, metrics, weights, tolerances, and uncertainty.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Failure to establish a defensible common comparison space because boundaries, targets, mappings, scales, observation processes, uncertainty, or validity domains cannot be aligned without unsupported assumptions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of comparison target, frame, representations, correspondence mapping, invariants, variants, observables, admissible and prohibited transformations, typed metrics or predicates, tolerances, uncertainty, validity domain, and final typed profile.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"An inferred, temporally extended organization of conditional action selection, information use, resource allocation, and contingency response that tends to preserve or improve one or more criteria across a declared class of interaction states.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of strategy-bearing system, domain, timescale, criteria, state and observation model, state abstraction, opportunity assumptions, action repertoire, selection policy, information policy, commitments, contingency and recovery rules, switching and stopping conditions, resources, authority, identity invariants, rival strategies, uncertainty, and validity domain.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A conditional relation from represented states, observations, or beliefs to action distributions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A representation-independent computational substrate for declaring domain commitments, evolving system state, assigning operational semantics, and producing governed projections whose preservation, transformation, omission, introduced structure, operations, snapshots, and replay can be inspected.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A research program that studies interaction as an explanatory target by separating and comparing declared domain commitments, state, semantics, projection, representation, interpretation, opportunity, coupling, behavior, measurement, similarity, strategy, and evidence.

CIS must justify itself through comparative explanatory gain, empirical validity, reproducible methods, and error-sensitive predictions. It does not replace HCI, psychology, anthropology, cognitive science, design, computer science, or related disciplines.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
